COMMENT: Small PR file, 100 trades
MODE: TL
NUM_TRADERS: 5
NUM_STOCKS: 4
0 BUY T0 S0 $17 #7
0 BUY T1 S3 $12 #50
0 SELL T0 S1 $83 #34
0 SELL T2 S1 $9 #16
1 SELL T2 S0 $68 #28
1 BUY T1 S1 $5 #2
1 SELL T2 S1 $21 #36
1 SELL T1 S2 $4 #18
1 BUY T1 S2 $32 #17
2 BUY T0 S3 $74 #17
2 SELL T2 S1 $91 #5
2 SELL T1 S1 $48 #23
2 SELL T2 S3 $54 #30
3 SELL T3 S2 $45 #10
3 BUY T4 S1 $28 #15
3 SELL T2 S1 $82 #11
3 BUY T0 S1 $62 #24
3 BUY T2 S2 $77 #23
4 BUY T3 S0 $25 #47
4 SELL T1 S1 $2 #17
4 SELL T3 S1 $20 #13
4 SELL T4 S3 $79 #22
4 SELL T2 S0 $54 #19
4 SELL T3 S0 $67 #23
4 BUY T4 S1 $16 #34
5 SELL T0 S0 $64 #40
5 BUY T3 S0 $72 #18
5 BUY T4 S2 $99 #18
5 SELL T3 S3 $59 #13
5 BUY T2 S3 $20 #18
6 SELL T3 S2 $77 #38
6 BUY T4 S0 $80 #49
6 BUY T0 S3 $52 #23
6 SELL T3 S1 $94 #26
6 SELL T1 S3 $80 #37
6 SELL T2 S0 $100 #11
6 SELL T1 S3 $93 #12
6 BUY T3 S0 $25 #25
6 SELL T2 S0 $2 #13
6 BUY T0 S1 $88 #34
6 SELL T4 S3 $68 #40
7 BUY T2 S2 $85 #30
8 SELL T0 S3 $24 #14
8 BUY T2 S1 $28 #9
9 SELL T3 S2 $3 #19
9 BUY T1 S3 $40 #4
9 SELL T2 S2 $40 #5
9 BUY T0 S2 $27 #45
9 BUY T2 S0 $96 #16
9 BUY T4 S1 $45 #40
10 BUY T2 S2 $40 #6
10 BUY T2 S1 $41 #48
10 BUY T0 S1 $41 #47
10 BUY T0 S0 $88 #19
10 SELL T2 S1 $38 #17
10 SELL T1 S0 $40 #18
11 SELL T0 S0 $89 #18
11 BUY T3 S2 $26 #15
11 SELL T1 S3 $28 #4
11 BUY T1 S1 $49 #16
11 BUY T4 S0 $100 #16
11 BUY T4 S0 $31 #5
11 BUY T1 S0 $93 #36
11 SELL T4 S1 $60 #42
11 SELL T1 S1 $43 #31
11 SELL T1 S0 $88 #12
11 SELL T1 S2 $59 #3
12 BUY T2 S2 $30 #24
12 SELL T1 S3 $48 #4
12 SELL T3 S0 $19 #33
12 SELL T4 S2 $15 #5
13 SELL T1 S1 $68 #40
13 SELL T3 S3 $76 #48
14 BUY T4 S3 $38 #49
14 BUY T0 S3 $31 #47
14 SELL T0 S3 $15 #42
14 SELL T0 S2 $88 #37
14 SELL T4 S1 $59 #27
14 SELL T2 S0 $55 #17
15 SELL T2 S0 $20 #43
15 SELL T2 S3 $32 #3
15 SELL T3 S3 $65 #26
15 BUY T2 S1 $71 #15
15 BUY T0 S2 $63 #36
16 SELL T2 S1 $100 #30
16 SELL T3 S1 $12 #33
17 BUY T0 S2 $14 #13
17 SELL T0 S3 $74 #17
17 SELL T2 S2 $27 #11
18 SELL T4 S0 $7 #1
18 SELL T3 S0 $66 #18
18 BUY T1 S1 $16 #34
18 BUY T1 S2 $73 #10
18 SELL T3 S3 $44 #4
18 BUY T2 S1 $72 #19
19 BUY T0 S1 $54 #33
19 SELL T2 S2 $19 #32
20 BUY T2 S2 $30 #17
20 SELL T0 S1 $99 #23
20 BUY T1 S0 $31 #19
