COMMENT: Large PR file, 100,000 trades
MODE: TL
NUM_TRADERS: 20
NUM_STOCKS: 25
0 SELL T7 S3 $11 #44
0 BUY T17 S23 $31 #45
0 BUY T9 S5 $58 #29
0 BUY T15 S7 $74 #34
0 BUY T19 S17 $44 #40
0 BUY T8 S8 $88 #13
0 BUY T17 S0 $66 #39
0 SELL T10 S9 $8 #23
0 SELL T10 S23 $17 #11
0 SELL T11 S15 $98 #18
0 SELL T2 S5 $47 #31
0 SELL T13 S13 $73 #34
0 SELL T0 S0 $90 #11
0 BUY T13 S1 $91 #47
0 BUY T1 S22 $43 #41
0 BUY T11 S13 $84 #41
0 BUY T6 S19 $90 #48
0 BUY T6 S17 $1 #33
0 BUY T1 S3 $76 #17
0 SELL T16 S0 $5 #22
0 SELL T3 S2 $76 #46
0 SELL T3 S3 $5 #42
0 BUY T14 S13 $32 #43
0 BUY T1 S7 $80 #49
0 SELL T3 S12 $80 #4
0 BUY T15 S16 $10 #7
0 BUY T7 S18 $12 #24
0 BUY T1 S5 $3 #40
0 BUY T12 S5 $10 #19
0 BUY T8 S4 $42 #28
0 SELL T0 S11 $82 #19
0 BUY T13 S15 $52 #12
0 BUY T6 S17 $24 #12
0 SELL T11 S22 $13 #23
0 BUY T19 S20 $12 #45
0 SELL T19 S3 $59 #25
0 BUY T17 S18 $74 #42
0 BUY T17 S4 $76 #48
0 BUY T11 S20 $31 #28
0 BUY T16 S6 $32 #36
0 SELL T7 S19 $73 #41
0 SELL T4 S12 $39 #24
0 SELL T19 S17 $15 #34
0 BUY T12 S22 $82 #41
0 BUY T7 S11 $65 #7
0 SELL T14 S9 $44 #26
0 BUY T1 S24 $14 #28
0 BUY T19 S4 $5 #19
0 BUY T3 S10 $37 #50
0 BUY T8 S23 $27 #8
0 SELL T18 S22 $31 #13
0 BUY T18 S9 $80 #46
0 BUY T7 S21 $86 #23
0 SELL T11 S1 $26 #38
0 BUY T10 S1 $37 #10
0 BUY T11 S12 $74 #27
0 BUY T10 S6 $16 #13
0 SELL T0 S21 $56 #2
0 BUY T0 S16 $56 #47
0 SELL T14 S1 $14 #3
0 SELL T17 S14 $96 #45
0 SELL T8 S11 $85 #31
0 BUY T18 S4 $7 #7
0 SELL T3 S5 $42 #18
0 BUY T5 S11 $20 #32
0 BUY T14 S24 $41 #20
0 BUY T6 S24 $40 #30
0 SELL T4 S4 $17 #26
0 SELL T7 S17 $64 #36
0 BUY T3 S18 $3 #17
0 BUY T6 S2 $33 #9
0 BUY T14 S20 $38 #26
0 SELL T1 S19 $8 #40
0 SELL T2 S19 $98 #46
0 BUY T3 S4 $38 #23
0 SELL T17 S8 $30 #20
0 SELL T11 S11 $79 #49
0 SELL T16 S11 $12 #18
0 SELL T19 S8 $67 #32
0 BUY T4 S9 $56 #18
0 BUY T5 S18 $92 #39
0 SELL T17 S16 $47 #7
0 SELL T10 S11 $98 #3
0 SELL T17 S3 $30 #32
0 SELL T18 S14 $37 #35
0 BUY T3 S12 $44 #16
0 BUY T11 S23 $89 #1
0 SELL T4 S18 $31 #32
0 BUY T6 S7 $56 #22
0 BUY T14 S20 $49 #30
0 BUY T15 S15 $83 #24
0 SELL T10 S1 $95 #22
0 BUY T2 S15 $75 #40
1 BUY T18 S19 $15 #27
1 BUY T3 S6 $64 #43
1 BUY T10 S24 $39 #24
1 BUY T13 S9 $71 #28
1 SELL T18 S19 $57 #34
1 BUY T19 S19 $30 #49
1 BUY T2 S21 $42 #3
1 SELL T2 S13 $71 #5
1 BUY T17 S15 $58 #7
1 BUY T13 S12 $51 #45
1 BUY T19 S1 $78 #49
1 SELL T9 S21 $69 #36
1 BUY T7 S18 $68 #35
1 BUY T12 S8 $81 #7
1 BUY T16 S2 $15 #24
1 SELL T15 S24 $15 #45
1 SELL T12 S23 $24 #7
1 SELL T12 S17 $14 #3
1 SELL T19 S20 $32 #40
1 BUY T6 S18 $28 #43
